E,Y,BEFORE
Y,T,BEFORE
I,C,BEFORE
G,F,BEFORE
C,P,BEFORE
B,Q,BEFORE
Z,N,BEFORE
J,W,BEFORE
W,P,BEFORE
K,D,BEFORE
Q,L,BEFORE
V,D,BEFORE
O,M,BEFORE
A,P,BEFORE
M,L,BEFORE
R,S,BEFORE
D,X,BEFORE
X,N,BEFORE
P,T,BEFORE
F,N,BEFORE
S,L,BEFORE
U,N,BEFORE
T,L,BEFORE
N,H,BEFORE
L,H,BEFORE
N,L,BEFORE
X,F,BEFORE
P,F,BEFORE
P,H,BEFORE
B,D,BEFORE
V,H,BEFORE
X,S,BEFORE
Q,O,BEFORE
Z,T,BEFORE
K,N,BEFORE
S,H,BEFORE
M,P,BEFORE
Q,D,BEFORE
R,U,BEFORE
J,P,BEFORE
P,S,BEFORE
V,U,BEFORE
R,T,BEFORE
F,S,BEFORE
D,T,BEFORE
E,N,BEFORE
J,N,BEFORE
J,A,BEFORE
K,U,BEFORE
V,N,BEFORE
V,S,BEFORE
U,L,BEFORE
F,U,BEFORE
I,T,BEFORE
J,L,BEFORE
E,T,BEFORE
T,N,BEFORE
I,G,BEFORE
R,D,BEFORE
E,B,BEFORE
X,H,BEFORE
P,L,BEFORE
Z,J,BEFORE
O,L,BEFORE
E,H,BEFORE
F,T,BEFORE
A,F,BEFORE
U,H,BEFORE
F,H,BEFORE
C,W,BEFORE
A,L,BEFORE
V,M,BEFORE
U,T,BEFORE
E,P,BEFORE
Y,U,BEFORE
W,R,BEFORE
E,X,BEFORE
Q,U,BEFORE
I,F,BEFORE
V,F,BEFORE
V,T,BEFORE
R,P,BEFORE
B,A,BEFORE
S,T,BEFORE
M,F,BEFORE
Y,F,BEFORE
C,K,BEFORE
D,S,BEFORE
O,S,BEFORE
M,U,BEFORE
Z,S,BEFORE
R,H,BEFORE
C,O,BEFORE
G,Q,BEFORE
Z,D,BEFORE
B,N,BEFORE
I,H,BEFORE
I,P,BEFORE
E,J,BEFORE
V,L,BEFORE
B,U,BEFORE